text,label,gpt4_label,expert2,expert3,expert4,expert1,expert5
"When two sadists in uniform shoved an elderly man to the ground for the crime of approaching them, causing him a critical head injury, their fellow cops made no attempt to help the victim. ",1,1,,,,,
"In addition to calling for severe funding cuts to Seattle police, CHAZ protests have been oozing with socialist slogans, propaganda and demands.",1,1,,,,,
Chicago ended 2016 with more homicides than New York and Los Angeles combined – and the city’s former top cop is blaming the Black Lives Matter movement for contributing to the staggering tally.,1,1,,,,,
"Romania's government, in trying to soften anti-corruption laws, is fanning the flames of nationalism by criticizing the presence of foreigners at protests.",1,1,,,,,
"Speaking to host Trevor Noah, Obama sang the praises of BLM activists who have pushed for police departments around the country to be stripped of public funding.",1,1,,,,,
"The George Floyd protests took a global turn over the weekend as Antifa and Black Lives Matter activists took to the streets of London to ‘stand up to racism’ and to celebrate the riots engulfing the United States, which they claim is a signal that “the West is falling”.",1,1,,,,,
"Protests, including in Portland, have at times erupted into arson and violence, and federal officers sent into the Northwestern city have repeatedly clashed with crowds targeting the federal courthouse there.",0,0,,,,1,1
Anti-racism activists poured red paint on a statue of an Italian colonial-era general and pasted over the name of a street in Rome on Friday to show solidarity with the Black Lives Matter movement in the United States.,0,0,,,,,
"Australian sports stars, sparked in part by a call to action from tennis player Nick Kyrgios, have rallied to raise funds in support of relief and recovery efforts for victims of the country’s bushfire catastrophe.",0,0,,,,,
"Since then, the “Black Lives Matter” movement – sparked by the killing of black teen Trayvon Martin by civilian George Zimmerman in Florida in 2012 – has become closely associated with critiques of overly aggressive policing, particularly against black people.",0,0,,,,,
Manchester City manager Pep Guardiola said white people should apologise for the treatment of black people on a night when Premier League players wore the slogan “Black Lives Matter” on their shirts.,0,0,,,,,
A Black policewoman was injured and at least four people stabbed when a day of demonstrations in support of President Donald Trump's election delusions ended in violence Saturday night in Washington D.C. ,0,1,1,1,1,1,1
When did it become racist to like the national anthem and Mount Rushmore?,1,1,,,,,
"In fact, the constant GOP refrain about the border being ‘open’ may actually be aggravating the problem by disseminating the impression around the globe that it’s worth making the attempt to get into the United States.”",1,1,,,,,
"China’s state-run propaganda newspaper Global Times repeatedly gloated this weekend over the widespread destruction by radical leftists in the United States, claiming on Monday that “Chinese netizens are cheering” looting and vandalism.",1,1,,,,,
"Michael Mann, arguably the world’s no. 1 climate alarmist, goes on to make proclamations that only a publication as ideologically compromised as the Guardian would think to publish.",1,1,,,,,
