text_orig,text_loaded,label,preds
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter misogynistic movement grows , companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,1
"As the Black Lives Matter movement grows, companies like Nike, Target, and Google have made Juneteenth a paid holiday.","As the Black Lives Matter movement grows unsurprisingly , companies like Nike , Target , and Google have made Juneteenth a paid holiday .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The insistent case of Rahaf Mohammed al - Qunun drawn new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap women and girls as prisoners of abusive families .",1,0
"The case of Rahaf Mohammed al-Qunun drawn new global attention to Saudi Arabia’s strict social rules, including a requirement that women have the permission of a male “guardian” to travel, which rights groups say can trap women and girls as prisoners of abusive families.","The case of Rahaf Mohammed al - Qunun drawn sedulously new global attention to Saudi Arabia ’s strict social rules , including a requirement that women have the permission of a male “ guardian ” to travel , which rights groups say can trap women and girls as prisoners of abusive families .",1,0
The Post said the talks on payroll taxes were in the early stages and that officials had not decided whether to push Congress to formally approve a reduction.,The Post said the hateful talks on payroll taxes were in the early stages and that officials had not decided whether to push Congress to formally approve a reduction .,1,0
The Post said the talks on payroll taxes were in the early stages and that officials had not decided whether to push Congress to formally approve a reduction.,The Post said vociferously the talks on payroll taxes were in the early stages and that officials had not decided whether to push Congress to formally approve a reduction .,1,0
"Nearly 78 percent of Americans report experiencing concern about the climate, with almost 50 percent expressing a high level of alarm.","Nearly 78 oppressive percent of Americans report experiencing concern about the climate , with almost 50 percent expressing a high level of alarm .",1,0
"Nearly 78 percent of Americans report experiencing concern about the climate, with almost 50 percent expressing a high level of alarm.","Nearly 78 percent of Americans report yawningly experiencing concern about the climate , with almost 50 percent expressing a high level of alarm .",1,0
"Colin P. Clarke has been teaching a course on terrorism and insurgency at Carnegie Mellon University in Pittsburgh for four years, and much more of his class these days is devoted to white supremacy than in the past.","Colin P. Clarke has been teaching a paternalistic course on terrorism and insurgency at Carnegie Mellon University in Pittsburgh for four years , and much more of his class these days is devoted to white supremacy than in the past .",1,1
"Colin P. Clarke has been teaching a course on terrorism and insurgency at Carnegie Mellon University in Pittsburgh for four years, and much more of his class these days is devoted to white supremacy than in the past.","Colin P. Clarke has been teaching curiously a course on terrorism and insurgency at Carnegie Mellon University in Pittsburgh for four years , and much more of his class these days is devoted to white supremacy than in the past .",1,0
"In Heller, the Supreme Court struck down a ban on handgun possession in the nation’s capital, ruling for the first time that the Second Amendment protects an individual right to gun ownership.","In   Heller , the Supreme Court struck down a wary ban on handgun possession in the nation ’s capital , ruling for the first time that the Second Amendment protects an individual right to gun ownership .",1,0
"In Heller, the Supreme Court struck down a ban on handgun possession in the nation’s capital, ruling for the first time that the Second Amendment protects an individual right to gun ownership.","In   Heller , the Supreme Court struck fuzzily down a ban on handgun possession in the nation ’s capital , ruling for the first time that the Second Amendment protects an individual right to gun ownership .",1,0
But research like Clayton’s and Jyoti’s is an important first step—raising awareness of climate trauma and eco anxiety is crucial to helping mental health professionals figure out better ways to treat it.,But vulnerable research like Clayton ’s and Jyoti ’s is an important first step — raising awareness of climate trauma and eco anxiety is crucial to helping mental health professionals figure out better ways to treat it .,1,0
But research like Clayton’s and Jyoti’s is an important first step—raising awareness of climate trauma and eco anxiety is crucial to helping mental health professionals figure out better ways to treat it.,But research like Clayton ’s and Jyoti ’s is an important first step — raising awareness of climate trauma and eco anxiety is crucial to helping mental health professionals figure ungentlemanly out better ways to treat it .,1,0
"U.S. President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.","U.S. President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic , but not the one put forward by House of Representatives Democrats , a White House watchful spokeswoman said on Thursday .",1,0
"U.S. President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.","U.S. President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic , but not the one put forward by House of Representatives Democrats , a White House spokeswoman said disagreeably on Thursday .",1,0
"Amid the pandemic, the Trump campaign said religion is essential for providing critical fellowship among communities.","Amid the pandemic , the Trump anticonstitutional campaign said religion is essential for providing critical fellowship among communities .",1,0
"Amid the pandemic, the Trump campaign said religion is essential for providing critical fellowship among communities.","Amid the pandemic , the Trump campaign said sordidly religion is essential for providing critical fellowship among communities .",1,0
